dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,Value
0.5332241,0.02925042,0.2154649,0.2604198,0.13793597,0.3132651,0.2515081,0.3527329,0.3433999,0.19249015,0.1627111,0.26793325,0.09925101,0.12269803,0.046365842,-0.12425897,0.4008578360080719
0.5211147,0.0036532802,0.18087466,0.2986232,0.19695646,0.34799954,0.225089,0.33177677,0.33993882,0.2197897,0.1565498,0.254788,0.0651256,0.11207732,0.029448228,-0.1222201,0.4276948571205139
0.5323434,-0.015455491,0.23261517,0.26699716,0.20054598,0.36758766,0.21097681,0.34787676,0.31482825,0.21310514,0.120939575,0.21674879,0.081846334,0.10487761,0.02990523,-0.15929832,0.46588999032974243
0.5062715,-0.050089803,0.16770904,0.30493927,0.1634797,0.41998604,0.23375818,0.32380792,0.32130036,0.14741562,0.13916223,0.2591658,0.11037304,0.07514202,0.003356315,-0.16768847,0.4863124489784241
0.53423697,0.10522041,0.18943106,0.26157972,0.15659699,0.28442958,0.26416385,0.33781728,0.37975842,0.20401798,0.16605583,0.25160474,0.08455828,0.11764661,0.05622947,-0.09494082,0.35912594199180603
0.47825062,0.053106084,0.14593127,0.3060542,0.18035412,0.36912116,0.2631894,0.3280287,0.36994895,0.19449295,0.17521249,0.2540744,0.08035248,0.12446999,0.040045816,-0.11977299,0.4144873023033142
0.52241343,0.03818923,0.22370909,0.28954786,0.16385421,0.2909663,0.1924767,0.36012003,0.35995913,0.2445851,0.15660393,0.24617909,0.08047023,0.12612534,0.06464341,-0.11142463,0.4013652205467224
0.53029144,0.094948895,0.19995454,0.26604414,0.18062226,0.30949268,0.23622257,0.32725704,0.31801653,0.23191047,0.14862004,0.28707296,0.10726789,0.15700127,0.07096205,-0.0842549,0.3570677638053894
0.48480418,0.028172696,0.20876378,0.30495322,0.1549635,0.37160635,0.24791592,0.34023693,0.32688472,0.20271374,0.15696208,0.27074686,0.083824374,0.13001774,0.03765998,-0.13048804,0.42410793900489807
0.55500746,-0.023297526,0.25973177,0.28790376,0.06550405,0.33655164,0.17947207,0.35666993,0.33905098,0.22614717,0.1763492,0.1582332,0.07446581,0.10019337,0.021088913,-0.16071689,0.4132930040359497
0.50732154,-0.01954862,0.28105068,0.36555648,0.14177655,0.41960812,0.21722542,0.3059181,0.28483418,0.13445722,0.19060059,0.083138086,0.08779196,-0.041035295,-0.06580863,-0.19106409,0.5069597959518433
0.5128404,-0.008847318,0.28117362,0.32307172,0.19635393,0.3415948,0.22255637,0.35289747,0.30654028,0.1784063,0.17238767,0.13696209,0.043331854,-0.03979666,0.016697416,-0.21485025,0.5419663190841675
0.5258353,-0.058883253,0.285182,0.34346774,0.14346409,0.3456162,0.23003384,0.32068765,0.3097897,0.06571,0.17882645,0.011951529,0.034495793,-0.17019159,-0.087351955,-0.23398246,0.558142900466919
0.55754447,-0.049641345,0.21840028,0.3061512,0.15004143,0.32028386,0.16892354,0.34399122,0.41619286,0.108148314,0.17681602,0.055226322,0.0691433,-0.03988161,-0.04095365,-0.21451892,0.5147576928138733
