RLS_dim_1,RLS_dim_2,RLS_dim_3,RLS_dim_4,RLS_dim_5,RLS_dim_6,RLS_dim_7,RLS_dim_8,RLS_dim_9,RLS_dim_10,RLS_dim_11,RLS_dim_12,RLS_dim_13,RLS_dim_14,RLS_dim_15,RLS_dim_16,TS_dim_1,TS_dim_2,TS_dim_3,TS_dim_4,TS_dim_5,TS_dim_6,TS_dim_7,TS_dim_8,TS_dim_9,TS_dim_10,TS_dim_11,TS_dim_12,TS_dim_13,TS_dim_14,TS_dim_15,TS_dim_16
-0.005336885,-0.29288596,0.21309455,0.18954514,0.3745937,0.3010066,0.0033840006,0.2704894,0.1202506,-0.13574058,0.027003437,0.074163556,0.05237774,-0.30313706,0.3167996,-0.50733095,-0.0017024279,-0.30133843,0.21304321,0.18199968,0.37455893,0.29836893,0.008308113,0.27249765,0.12854624,-0.13578689,0.015850365,0.06774163,0.053285122,-0.3038953,0.31088257,-0.50694656
-0.0014788891,-0.29911235,0.21280439,0.17948285,0.37400913,0.2976405,-0.000667111,0.27347308,0.12920241,-0.14047968,0.01332289,0.073764496,0.051215798,-0.30493236,0.30141294,-0.5182353,-0.0033373833,-0.30210948,0.21000862,0.18224764,0.3767395,0.2998085,0.008651257,0.27103758,0.12792164,-0.13512707,0.014692128,0.0669322,0.052114725,-0.30567718,0.31111908,-0.50945854
-0.0053694774,-0.30269063,0.20864424,0.17877498,0.37276262,0.3069171,0.0013110652,0.26352748,0.1330708,-0.13203038,0.031236105,0.07068939,0.040975757,-0.31227663,0.3165365,-0.5115132,-0.0053987503,-0.30028486,0.20559883,0.18250227,0.37970448,0.30160236,0.008883953,0.26820135,0.13370788,-0.13857567,0.0148181915,0.064220905,0.04897499,-0.30430824,0.31266212,-0.5138645
-0.0062496397,-0.2939054,0.21032633,0.18143408,0.38348898,0.30442208,0.005497601,0.26657918,0.13427535,-0.14456297,0.014921178,0.066125914,0.048102368,-0.30911985,0.31188992,-0.51248795,-0.008698463,-0.30064535,0.20426655,0.18321276,0.38296127,0.30103493,0.009321094,0.26484442,0.13273704,-0.13809037,0.015250325,0.06362295,0.04901004,-0.30526114,0.31474686,-0.5155163
-0.013255108,-0.30400223,0.20234452,0.18375398,0.38171852,0.29655632,0.010795186,0.2553894,0.13187052,-0.13914958,0.012862479,0.069843456,0.046633326,-0.31131437,0.31708762,-0.52003837,-0.0117919445,-0.29985142,0.20256042,0.1822381,0.38432407,0.30138683,0.01017952,0.2638731,0.1324203,-0.1377356,0.013306379,0.06520414,0.048139095,-0.30582297,0.31657028,-0.5169525
-0.021556426,-0.30213323,0.21076865,0.18570805,0.378357,0.29836062,0.009362999,0.25844648,0.12914556,-0.13793543,0.013818555,0.07551058,0.044411287,-0.30808136,0.30529037,-0.52633727,-0.013000488,-0.30022907,0.20289898,0.18219614,0.38432884,0.30149174,0.011061072,0.2632842,0.13173544,-0.13953876,0.013255835,0.06464577,0.049440145,-0.30610287,0.31707954,-0.5174179
-0.0044867164,-0.30547646,0.20508571,0.1785675,0.38850483,0.30309787,0.010954894,0.26329654,0.13815306,-0.14411043,0.0013930518,0.05822128,0.045183048,-0.3009193,0.31589147,-0.5152941,-0.013168812,-0.30085993,0.20089817,0.18356514,0.38644314,0.30313683,0.010090828,0.26276827,0.13220894,-0.13920975,0.012681007,0.063614845,0.04855919,-0.30645502,0.31676483,-0.5170822
-0.012358717,-0.3003473,0.19083807,0.18274729,0.38418794,0.309127,0.0025420468,0.2775454,0.1228044,-0.14219818,-0.002230511,0.063927166,0.04125417,-0.31247807,0.31613097,-0.5143295,-0.014985561,-0.30166292,0.20042133,0.1842928,0.3865881,0.30317974,0.009601116,0.26307917,0.13268268,-0.13919544,0.012444496,0.063905716,0.047744274,-0.30609488,0.31692696,-0.5174942
-0.018886462,-0.3041379,0.2005038,0.18187886,0.38723433,0.30688295,0.013227748,0.26881063,0.1280168,-0.1369236,0.022864554,0.05957448,0.046492256,-0.30902278,0.3244516,-0.5075333,-0.0153307915,-0.30154037,0.19964886,0.18551588,0.38826752,0.3040533,0.008857489,0.26299286,0.13365781,-0.13948274,0.0130598545,0.06300259,0.048425198,-0.30511367,0.31654167,-0.5175209
-0.0034669703,-0.2997963,0.20603174,0.1844476,0.38812587,0.30122548,0.009971282,0.25373527,0.13491443,-0.14654347,0.003677737,0.070663475,0.03819081,-0.30926085,0.3176596,-0.51818436,-0.015599251,-0.30183554,0.19968033,0.1853795,0.3884058,0.3039837,0.008091211,0.26343155,0.13408148,-0.14032626,0.012554765,0.06306839,0.049794197,-0.30471647,0.31686783,-0.5175743
