dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,Value
0.3171549,-0.2671402,0.2808354,0.17785387,0.29349494,0.27780935,0.16044919,0.420833,0.18207909,0.072383955,0.0052188253,0.29935715,0.054524772,-0.26308194,0.17181407,-0.34878007,0.8276079893112183
0.1605258,-0.35333493,0.22221184,0.2318441,0.35194153,0.416204,0.07855754,0.31622782,0.11509506,-0.05821271,0.012559684,0.17167702,0.08421893,-0.29156226,0.1846817,-0.4129421,0.9432656764984131
0.12060807,-0.3752124,0.31589565,0.14921203,0.3974759,0.27569807,-0.041757658,0.32121307,-0.02649727,0.09423551,-0.043724716,0.07274614,0.04331807,-0.35026783,0.21604125,-0.44234926,0.9214283227920532
0.028776329,-0.45218632,0.21572658,0.162969,0.3005678,0.43193886,0.031862464,0.20295475,-0.10562107,-0.13489819,-0.026209395,0.15033543,0.18638285,-0.38360313,0.1472035,-0.3824721,0.8995770215988159
0.14818785,-0.09346127,0.21030934,0.16569035,0.37469923,0.11184169,0.2619605,0.37131962,0.2563377,-0.043533474,0.004215591,0.281019,-0.027775459,-0.31115565,0.3515195,-0.4128722,0.8591522574424744
0.046583734,-0.25395927,0.10253004,0.25744525,0.42143065,0.38311073,0.16940902,0.27172026,0.1871125,-0.07717917,0.021605913,0.19670634,0.029522471,-0.3537869,0.24520549,-0.40415952,0.9491771459579468
0.23918024,-0.27144483,0.33874768,0.13873017,0.29717895,0.18094584,-0.010737549,0.45343554,0.24156608,-0.012754583,0.028787363,0.20016894,0.07752783,-0.19158255,0.30098835,-0.41906697,0.8870697021484375
0.20231289,-0.12582998,0.20148478,0.17570266,0.33375505,0.3274548,0.19545494,0.37291232,0.1964592,0.123776905,-0.01246282,0.39851817,0.036393654,-0.045447968,0.33285,-0.38576597,0.7943347692489624
0.012748224,-0.31096148,0.23615125,0.15659796,0.30799946,0.45229226,0.092338875,0.2901623,-0.0035163166,0.022737976,-0.03746143,0.3272123,0.10961261,-0.085920244,0.30927834,-0.454584,0.8889023065567017
0.13595971,-0.29922727,0.30757695,0.1044211,0.15688844,0.35398087,-0.090632625,0.35871315,0.19793229,0.029585233,0.02306949,0.22902322,0.1310317,0.13228253,0.38432592,-0.47355488,0.8054090738296509
-0.009649953,-0.40757725,0.20643097,0.20384131,0.32921046,0.4859541,-0.021076813,0.19975364,-0.0033851885,-0.109467834,0.0030713864,0.0788085,0.15676446,-0.2995527,0.19259691,-0.4417359,0.9448546767234802
0.027392173,-0.27291703,0.28421193,0.15639105,0.37052354,0.22580163,0.08255406,0.30296788,0.042230092,-0.030967625,-0.022276834,0.107225016,0.022537045,-0.3622838,0.32627347,-0.52887124,0.9702109694480896
-0.15056004,-0.34400713,0.21825933,0.100960046,0.37492144,0.14002939,-0.043150082,0.16777946,-0.017740326,-0.2620336,-0.010835601,-0.025629675,0.09831794,-0.47798386,0.2913362,-0.46713185,0.9254336357116699
0.009526426,-0.31648543,0.2612331,0.10735553,0.32303497,0.16716594,-0.14503019,0.30955395,0.24996932,-0.24916296,0.046230726,0.029226717,0.13351515,-0.23817216,0.3499936,-0.49620423,0.9513342976570129
0.087651424,-0.33976462,0.15283188,0.1648109,0.4025765,0.3401119,0.0753964,0.32407454,0.1664877,-0.081170306,-0.01820651,0.31044462,0.16061856,-0.3347369,0.20215987,-0.35801443,0.927200436592102
0.18037699,-0.40015823,0.24874707,0.14134814,0.4324058,0.21666609,-0.20095427,0.3287704,0.11148116,0.07075859,-0.0049120453,0.09685659,0.090933815,-0.42691463,0.13058883,-0.32965592,0.876664936542511
0.14781103,-0.38684222,0.21724047,0.1930929,0.35326436,0.2853712,-0.086341545,0.32717553,0.2166914,-0.13970323,0.03363696,0.05938367,0.1198649,-0.4120706,0.14524837,-0.38327354,0.939315676689148
0.04917688,-0.3992856,0.2909558,0.10610249,0.2771992,0.38218057,-0.06821827,0.3143145,0.039063036,-0.06209118,-0.018495245,0.27564117,0.2181358,-0.10248921,0.2931939,-0.43604988,0.9000900387763977
0.11264524,-0.39631516,0.25655285,0.07267193,0.31121656,0.28980327,-0.02180005,0.3767419,0.10174047,-0.106679775,-0.022894964,0.33222035,0.21801126,-0.28929362,0.21265122,-0.3561277,0.8954913020133972
-0.041546836,-0.25669742,0.11156011,0.20837797,0.44473824,0.36291265,0.011697202,0.21967554,0.14131252,-0.020704594,-0.013892491,0.027812492,-0.059033044,-0.28984877,0.30928597,-0.54231167,0.9763100147247314
0.013265156,-0.33844995,0.078715935,0.2135982,0.4244405,0.490841,-0.06650968,0.23966572,0.16257203,0.09013225,-0.0005754521,0.11645688,-0.026238855,-0.2295514,0.20817015,-0.45352435,0.9281811714172363
0.12764226,-0.2392301,0.3292977,0.14696857,0.19616784,0.27969623,0.15026231,0.31802636,0.14471954,-0.18458599,0.04583506,0.08692121,0.04657232,-0.1683416,0.34745157,-0.5831861,0.9293025135993958
