TS_dim_1,TS_dim_2,TS_dim_3,TS_dim_4,TS_dim_5,TS_dim_6,TS_dim_7,TS_dim_8,TS_dim_9,TS_dim_10,TS_dim_11,TS_dim_12,TS_dim_13,TS_dim_14,TS_dim_15,TS_dim_16,TS_dim_17,TS_dim_18,TS_dim_19,TS_dim_20,TS_dim_21,TS_dim_22,TS_dim_23,TS_dim_24,TS_dim_25,TS_dim_26,TS_dim_27,TS_dim_28,TS_dim_29,TS_dim_30,TS_dim_31,TS_dim_32,RLS_dim_1,RLS_dim_2,RLS_dim_3,RLS_dim_4,RLS_dim_5,RLS_dim_6,RLS_dim_7,RLS_dim_8,RLS_dim_9,RLS_dim_10,RLS_dim_11,RLS_dim_12,RLS_dim_13,RLS_dim_14,RLS_dim_15,RLS_dim_16,RLS_dim_17,RLS_dim_18,RLS_dim_19,RLS_dim_20,RLS_dim_21,RLS_dim_22,RLS_dim_23,RLS_dim_24,RLS_dim_25,RLS_dim_26,RLS_dim_27,RLS_dim_28,RLS_dim_29,RLS_dim_30,RLS_dim_31,RLS_dim_32
0.10481217,-0.0070109926,0.16681768,0.2199381,-0.03317243,-0.085003085,0.16919386,0.18573317,-0.03419877,0.20402479,0.029587474,0.010511892,0.07604128,-0.32765687,-0.05421136,0.122527376,0.0118888635,-0.07623525,-0.16263789,-0.29698557,-0.0868168,0.05341695,0.358582,-0.2110338,0.007329556,0.052923284,-0.007314771,0.03377402,-0.18027821,0.24919216,-0.29695725,-0.14751822,0.11092019,-0.023771286,0.16353399,0.21801758,-0.046506334,-0.07965469,0.16867888,0.1895591,-0.03989333,0.21071851,0.044296503,0.010437131,0.06431422,-0.3215441,-0.06523764,0.11893082,0.0189811,-0.077085376,-0.16186206,-0.29269892,-0.08927345,0.052971125,0.36461973,-0.21330628,0.010979533,0.051298976,-0.002089262,0.043417692,-0.16933918,0.24915725,-0.28536153,-0.1565504
0.10971629,-0.029949095,0.18004917,0.22993325,-0.046518702,-0.076066725,0.18012086,0.19361348,-0.03542986,0.200597,0.073688045,0.012852293,0.07931122,-0.32830372,-0.04952736,0.12318044,0.022362426,-0.077278994,-0.16324674,-0.3183794,-0.078691095,0.0540781,0.35693386,-0.217164,0.007813964,0.038993098,-0.01561091,0.051783442,-0.17872399,0.24958229,-0.29177886,-0.14616488,0.10869694,-0.03461933,0.17271605,0.22756302,-0.04458913,-0.072937965,0.17394361,0.19275308,-0.042482495,0.20330691,0.057356,0.0107444525,0.070388466,-0.3333494,-0.053719044,0.12656498,0.011373162,-0.08444464,-0.1702703,-0.30153924,-0.08187461,0.05166483,0.36913204,-0.21985853,0.014381558,0.046779037,-0.01189363,0.047199547,-0.17096561,0.26066178,-0.28857255,-0.13702679
0.10868372,-0.025794413,0.18324924,0.23485783,-0.03318368,-0.07040868,0.18811364,0.20069396,-0.049509246,0.19193909,0.073578864,0.024905287,0.075974815,-0.35502297,-0.054878164,0.1359404,-0.022211142,-0.09626704,-0.18486683,-0.29480416,-0.07714102,0.046001434,0.36132577,-0.2285183,0.016447978,0.04255321,-0.02628636,0.04241495,-0.17786948,0.27284333,-0.28665313,-0.12284751,0.10764766,-0.04186392,0.17874229,0.23491603,-0.04091561,-0.0651443,0.18471718,0.19276428,-0.04282391,0.1924982,0.073970914,0.011071533,0.07435045,-0.34238482,-0.04148805,0.13352299,-0.0018062592,-0.09722525,-0.18303135,-0.30933976,-0.07258415,0.05408156,0.36932492,-0.23045313,0.01807046,0.037541628,-0.02207625,0.054168403,-0.17033327,0.27442414,-0.29547143,-0.1186676
0.09351388,-0.042242873,0.1791126,0.24429044,-0.037988927,-0.061697546,0.1788266,0.20556402,-0.049285732,0.18506984,0.0883103,0.022473369,0.064163916,-0.3609385,-0.02558908,0.14042369,0.0034407023,-0.09599843,-0.1919824,-0.32204112,-0.06619502,0.04993741,0.37210855,-0.22298108,0.023485921,0.032539833,-0.028779374,0.061779074,-0.1588721,0.27573517,-0.2868859,-0.116116926,0.10590935,-0.04508269,0.18162537,0.2389828,-0.040227577,-0.059886217,0.18901195,0.19332385,-0.04248351,0.18792534,0.08179104,0.010670483,0.07851684,-0.34770286,-0.035104036,0.13819504,-0.0074543953,-0.10285604,-0.18940276,-0.31313276,-0.068794966,0.052902102,0.37036943,-0.23662698,0.019993126,0.034764886,-0.026487589,0.057085276,-0.17086172,0.27832955,-0.2973473,-0.11004448
0.114011995,-0.055333685,0.19727604,0.2489494,-0.037726887,-0.05681003,0.2050224,0.18587688,-0.033876963,0.1867878,0.08555099,0.003876083,0.081464745,-0.3502492,-0.026002403,0.1428118,-0.010122508,-0.122712255,-0.20239858,-0.30313444,-0.07381324,0.05036504,0.37826383,-0.23613806,0.009136697,0.026179396,-0.0273091,0.05250271,-0.1708062,0.2809925,-0.2868009,-0.09797563,0.10441685,-0.047551274,0.18252945,0.24161887,-0.040040657,-0.057403803,0.1929,0.19119668,-0.04254675,0.18339181,0.08681786,0.008117676,0.080730975,-0.35126823,-0.02823472,0.1407919,-0.0143146515,-0.10710031,-0.19569588,-0.31660342,-0.063221455,0.053117156,0.3722415,-0.24266446,0.020223796,0.03301561,-0.02921176,0.058871746,-0.17178714,0.28196168,-0.2981813,-0.103803635
0.10506824,-0.05601454,0.17296776,0.24289605,-0.03586102,-0.06541188,0.21063276,0.17788514,-0.06239371,0.17389667,0.086793445,0.004283238,0.08060972,-0.36485434,-0.039328333,0.13562034,-0.023850786,-0.10611761,-0.1899518,-0.30317312,-0.051184196,0.050895523,0.36690992,-0.2535046,0.020825919,0.03741876,-0.019026019,0.06352654,-0.18449059,0.28913748,-0.30822885,-0.100258626,0.10303211,-0.05083108,0.18323588,0.24169183,-0.044585317,-0.052890062,0.19806635,0.1867162,-0.04577875,0.18131709,0.09663999,0.006916702,0.09120989,-0.35316104,-0.028945923,0.14091396,-0.017819881,-0.10815197,-0.20067233,-0.31650174,-0.060628176,0.04809439,0.37201953,-0.24865305,0.022317648,0.03104949,-0.027573586,0.05797732,-0.17497766,0.28449446,-0.29877615,-0.10242462
0.10891877,-0.043537054,0.18680136,0.24608725,-0.03875648,-0.056593843,0.18594381,0.19101876,-0.040862303,0.17363341,0.0944707,0.008888477,0.10132933,-0.36011103,-0.023149667,0.14316139,-0.012696974,-0.10776708,-0.20067878,-0.31424108,-0.055869337,0.056251008,0.38033044,-0.25189698,0.017231612,0.020350177,-0.038852673,0.084592864,-0.17819469,0.27294898,-0.2941115,-0.09427805,0.10237241,-0.051978827,0.18342245,0.24234712,-0.044836447,-0.05149293,0.19938138,0.1867516,-0.046384573,0.18061852,0.10032153,0.0057460666,0.0938794,-0.35484755,-0.027328491,0.14321995,-0.019102335,-0.110578656,-0.20187545,-0.31734782,-0.05966425,0.048195004,0.37182045,-0.24882102,0.023487717,0.030617237,-0.028211355,0.060138404,-0.17529964,0.28493202,-0.29916883,-0.10155296
0.12115407,-0.050389208,0.16796243,0.23748198,-0.047769044,-0.032339428,0.19105873,0.19564138,-0.06298671,0.17446864,0.090555936,-0.0030973796,0.09531131,-0.34468803,-0.01936761,0.15434876,-0.0011093784,-0.12075925,-0.21543552,-0.31472883,-0.044766024,0.051803075,0.3787312,-0.24505147,0.011769002,0.03546541,-0.039207857,0.06648628,-0.18755275,0.2931125,-0.3017344,-0.09732501,0.10218024,-0.05302155,0.1835202,0.2424615,-0.04646501,-0.050399065,0.20031917,0.18467021,-0.047625422,0.17966437,0.10354984,0.0038544536,0.09700596,-0.3562665,-0.02721548,0.14338303,-0.020633936,-0.11013138,-0.2038747,-0.31867528,-0.05838108,0.047281384,0.37232518,-0.25130212,0.023890316,0.030584216,-0.029197931,0.060620666,-0.17597747,0.2861594,-0.29827237,-0.10021019
0.10928381,-0.04903068,0.1763502,0.24390261,-0.051892273,-0.057741657,0.21741964,0.16711272,-0.041448142,0.17542845,0.11109484,0.0047296165,0.087633476,-0.35684404,-0.022306092,0.14882594,-0.008924986,-0.1166101,-0.19937684,-0.31963176,-0.057468623,0.048988793,0.36389214,-0.26033375,0.02565321,0.021447353,-0.010244546,0.06223848,-0.17529438,0.28276816,-0.31343645,-0.09180567,0.10162926,-0.05482006,0.18448329,0.24284929,-0.046360776,-0.04890561,0.2013739,0.18458605,-0.04864359,0.17854476,0.106399536,0.0047577024,0.09897685,-0.35736126,-0.026098967,0.14394093,-0.021730185,-0.111251175,-0.20485151,-0.3196103,-0.057548046,0.04684961,0.3720441,-0.25169778,0.023823678,0.03037262,-0.029219866,0.06103158,-0.17662525,0.28689635,-0.29823565,-0.09943962
0.11291588,-0.052100297,0.1919784,0.2517384,-0.05684059,-0.042100705,0.20472552,0.19829246,-0.057587598,0.1765261,0.10244027,0.011361718,0.089639366,-0.3658603,-0.026144516,0.13890742,-0.005425023,-0.113925144,-0.21218775,-0.32280767,-0.061790578,0.044778135,0.34373796,-0.2623401,0.022344183,0.028009735,-0.022738468,0.062141363,-0.16717035,0.28954005,-0.29796964,-0.09477158,0.10156226,-0.056076407,0.18526936,0.24282241,-0.04672411,-0.048161745,0.20226724,0.18398023,-0.048906446,0.17787957,0.10835838,0.004286051,0.101269186,-0.3572731,-0.02601242,0.14443398,-0.022019625,-0.11151856,-0.2054885,-0.3195235,-0.057132244,0.04652679,0.37270093,-0.25207138,0.024350047,0.029928207,-0.02947712,0.06109643,-0.17761624,0.28744608,-0.2984581,-0.098810196
