dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,Value
-0.15820336,-0.04096323,0.13526353,-0.10119503,0.07244532,0.032339342,0.21039134,-0.12075047,0.04777144,-0.040773693,0.06997676,0.08657363,0.07252181,-0.048310068,-0.12027835,0.14575005,-0.0029980305,-0.02029479,0.058019962,0.106218904,0.12360151,0.04829208,-0.10799563,-0.022593195,-0.025099328,-0.15848677,-0.017506855,0.21256244,-0.14511146,0.04382614,0.09196379,0.00085266645,0.100381866,-0.12409108,0.08591892,0.07923135,-0.020764181,-0.17777818,-0.16513823,0.09801849,-0.030446632,0.015262473,0.1024096,0.11873103,0.110119045,-0.037149087,0.068314105,0.026119342,-0.08500095,0.014835962,-0.18574443,-0.17044662,-0.20552151,0.14372177,-0.29990914,-0.18132286,-0.28077197,0.26121926,-0.13640995,-0.16302694,0.19229312,-0.05370589,0.08512174,-0.1540308,0.7870085835456848
-0.18998075,-0.07312125,0.10696748,-0.036326002,0.055393852,0.028891336,0.16803278,-0.119023524,0.025436189,-0.00027247026,0.1504311,0.056158714,0.014648584,0.012439977,-0.088709496,0.19263029,-0.026729899,0.011615447,0.054604962,0.08793827,0.10390841,0.09105142,-0.12613967,-0.02531823,-0.06257987,-0.13105081,0.0001703832,0.18383227,-0.11325285,0.07167379,0.16993028,-0.04100705,0.093465,-0.12066101,0.09039816,0.09119046,0.013810079,-0.10279872,-0.17787607,0.12363122,-0.021991976,0.037354004,0.05245809,0.056646973,0.13725375,-0.07699695,0.101608224,0.004995067,-0.12055967,0.030944059,-0.21078306,-0.19598094,-0.17307414,0.13529041,-0.28461128,-0.19661088,-0.16022155,0.3272388,-0.17388037,-0.15223855,0.27021593,-0.081937805,-0.019210098,-0.064599656,0.8562723398208618
-0.12412909,-0.11634765,0.122813255,-0.08891023,-0.0010934051,0.08923739,0.14285645,-0.1123836,0.034321416,-0.081063256,0.06546912,0.04742454,0.11189267,-0.08948934,-0.15244901,0.12706798,-0.0014871152,0.040489543,0.019412914,0.062102098,0.15643947,0.071457036,-0.098772235,-0.0836392,-0.07334825,-0.12788825,-0.017116537,0.16972713,-0.059469424,0.039268833,0.17552239,0.017906412,0.06039372,-0.16421708,0.067927994,0.06112433,-0.0406538,-0.17672394,-0.19394816,0.12860307,-0.04574501,-0.051907994,0.075641714,0.09559062,0.064660095,-0.0075744437,0.09503785,-0.015267514,-0.090373546,0.02288706,-0.19868837,-0.14631352,-0.2737557,0.16060632,-0.29887232,-0.16478974,-0.26416242,0.2541414,-0.15155454,-0.1570752,0.17368497,-0.11919834,0.029404577,-0.14289455,0.7625129222869873
-0.17560962,-0.115204774,0.10753106,-0.03443972,0.018770132,0.05087457,0.113184616,-0.17803042,0.058558714,-0.06141395,0.15693116,0.05220789,0.0033945413,-0.0063592424,-0.035975087,0.1777987,-0.016830131,0.07568495,0.04280403,0.13926965,0.09078689,0.080815695,-0.13397628,-0.01740532,-0.08907345,-0.17279765,0.03609333,0.13781604,-0.02846169,0.019338474,0.255693,-0.05324078,0.057382785,-0.091492884,0.052187823,0.068315074,0.02277817,-0.043910667,-0.20966928,0.084727466,-0.017012682,0.012913196,0.0901289,0.028512074,0.070158765,-0.0137335835,0.126793,0.03615764,-0.17696568,0.022169512,-0.19971052,-0.16749479,-0.13487262,0.10059108,-0.281582,-0.22621791,-0.0682902,0.34170508,-0.16902357,-0.15483984,0.30317333,-0.080080554,-0.06862759,-0.019356452,0.7217628359794617
-0.11984176,-0.085346065,0.161484,-0.022443926,0.06464161,0.041147195,0.11012183,-0.12181845,-0.0035357338,-0.021830259,0.15778092,0.028573556,-0.017244652,-0.033343427,-0.10062125,0.13770011,-0.05662269,0.04214401,-0.04093937,0.08714429,0.17472401,0.08293034,-0.13168186,-0.02802763,-0.043405447,-0.17593685,0.018720092,0.17414269,-0.06847081,0.06932236,0.10871314,0.025377369,0.1073141,-0.17115772,0.1371264,0.08561138,0.0036685832,-0.13578781,-0.19643566,0.09962904,-0.004485654,-0.02044489,0.12072102,0.11109346,0.040405527,0.009297253,0.042487964,0.0735247,-0.13166632,0.012490413,-0.16517547,-0.1427436,-0.23503913,0.1688645,-0.3757756,-0.09731216,-0.21686749,0.2834272,-0.19287607,-0.1568883,0.11721558,-0.01753561,0.08080594,-0.16568713,0.7644397020339966
-0.1608558,-0.07874714,0.12762012,-0.021993395,0.064495966,0.02844948,0.14093906,-0.12832671,-0.01183479,0.018160678,0.17971751,0.023156231,-0.04145292,0.0040788874,-0.10654063,0.169238,-0.056445394,0.061537262,-0.018469986,0.05706306,0.15551664,0.09656671,-0.13844474,-0.02820486,-0.05271782,-0.15708384,-0.012173538,0.17378213,-0.051440712,0.07525522,0.1520481,-0.028452355,0.103106394,-0.16978677,0.1715326,0.083959706,0.013441654,-0.09068747,-0.19557495,0.11526025,-0.010187864,0.0009410454,0.05956674,0.051656432,0.07099627,-0.031176977,0.059561413,0.03267706,-0.14780752,0.05608197,-0.2006245,-0.16436063,-0.19904628,0.16048416,-0.33121824,-0.14312084,-0.14395732,0.32705444,-0.19516371,-0.15094866,0.18205322,-0.060422003,-0.00734369,-0.121187516,0.8352931141853333
-0.16417249,-0.038267825,0.17922798,-0.006307586,0.07572985,-0.0020495586,0.20457307,-0.1555478,0.042666983,-0.029828968,0.13927583,-0.0052751405,0.042574763,-0.049082533,-0.073277354,0.12826416,-0.05766464,-0.066953495,0.0073167807,0.09923729,0.17096752,0.05249354,-0.11932941,-0.06935289,-0.0028300178,-0.17412663,0.00013008491,0.091475554,-0.14552763,0.07612704,0.116802156,0.059746794,0.12327813,-0.17416526,0.0924076,0.058095854,0.07712731,-0.16396396,-0.16128266,0.049702678,-0.0023912746,0.02052036,0.08871088,0.091794714,0.0864544,0.00054141425,0.08284197,0.12006977,-0.11741822,0.0019279694,-0.1276675,-0.13190721,-0.14673287,0.16141708,-0.3233171,-0.11616882,-0.21844944,0.32646456,-0.1751727,-0.16263644,0.20965889,-0.036783706,0.070118956,-0.16978551,0.7617560029029846
-0.15204489,-0.093209304,0.1288929,-0.06019441,0.035569426,0.08514446,0.12093446,-0.09040126,-0.006778641,-0.07185073,0.06361691,-0.001386757,0.09908146,-0.045611054,-0.18486516,0.11867941,-0.030529208,-0.018738631,0.007968341,0.03659339,0.1599168,0.06585666,-0.118365034,-0.13769962,-0.07141908,-0.051587064,0.047834758,0.15574697,-0.11581858,0.11190129,0.21129024,0.022771245,0.05950038,-0.1480991,0.12664397,0.050170615,-0.0069999723,-0.19251597,-0.16259968,0.13394946,-0.052543506,-0.0331313,0.050129995,0.0611514,0.14260107,-0.023358192,0.08462326,-0.057103917,-0.0745891,0.04638145,-0.19278044,-0.1616364,-0.2520256,0.17592986,-0.3101152,-0.086631484,-0.27221853,0.24370208,-0.18107666,-0.1736972,0.10759741,-0.090183295,0.031688873,-0.15167202,0.8673266768455505
-0.17712608,-0.1090805,0.12522212,-0.10285118,0.023768311,0.08716487,0.09292239,-0.15206638,0.0112066055,-0.091411516,0.09807606,0.064485274,0.054693475,-0.019397356,-0.10167849,0.16273873,-0.0142822275,0.035487723,0.059857424,0.14036544,0.11259745,0.071601406,-0.13672903,-0.039345954,-0.09106253,-0.1360809,0.048066698,0.19184421,-0.09483546,0.038712583,0.22124575,-0.05763654,0.041277096,-0.09973586,0.11067596,0.084727496,-0.002266701,-0.12796177,-0.1849368,0.08490793,-0.052747883,-0.02296531,0.075284086,0.062484216,0.10889926,-0.0075756097,0.12210734,-0.0032756822,-0.11961061,-0.023314834,-0.19850464,-0.17854004,-0.23188668,0.1293296,-0.3590036,-0.16000207,-0.2024475,0.23457296,-0.14710008,-0.1733342,0.19844614,-0.0439257,0.031498995,-0.083165325,0.7935981154441833
-0.13657105,-0.03482405,0.15703034,0.005352522,0.11532878,0.024339909,0.1329495,-0.083087884,-0.0368957,0.036,0.13056768,0.027710417,-0.034343973,0.0051699877,-0.134542,0.12426361,-0.095312014,0.031388905,-0.027343798,0.05724242,0.17770475,0.085872814,-0.15464483,-0.03297534,-0.018231288,-0.124673255,-0.02032472,0.22148617,-0.1054404,0.089696854,0.058956403,-0.029660638,0.13155974,-0.15618457,0.22343837,0.095652424,0.005227772,-0.13946219,-0.16472071,0.12515129,0.0047021857,0.015718639,0.09763338,0.08643061,0.1309908,-0.048498776,0.0016199534,0.01127218,-0.099908955,0.04498436,-0.18865548,-0.16444358,-0.21935019,0.17157301,-0.3632268,-0.062090464,-0.22386307,0.23116267,-0.18241388,-0.1650006,0.10690186,-0.0036499922,0.06781573,-0.16373777,0.8599533438682556
-0.1036229,-0.07612077,0.14399536,0.054203216,0.09002479,0.031079054,0.096912816,-0.07725648,-0.04111769,0.07132968,0.13726544,0.053975027,-0.055762496,-0.038913947,-0.13245402,0.09797047,-0.09423718,0.14814481,-0.0024940143,0.021737402,0.2185114,0.10034392,-0.10839857,-0.06526686,-0.09615173,-0.100105226,-0.002584886,0.22347233,0.025463436,0.06415214,0.12145724,-0.049869925,0.12292333,-0.16775511,0.23517731,0.05512146,-0.03681932,-0.1544215,-0.22588259,0.16868442,0.006032351,-0.022507673,0.18178844,0.09704971,0.089068905,-0.0395976,-0.016707428,-0.014771694,-0.121976905,0.0757229,-0.19856586,-0.18841027,-0.23206659,0.12916353,-0.34588382,-0.02400655,-0.1504195,0.1984282,-0.16952364,-0.14220685,0.0369182,0.01586152,0.061582003,-0.12951747,0.8049819469451904
-0.15540034,-0.05104468,0.044930797,-0.000672842,0.056132868,0.05352795,0.24294738,-0.03031323,0.025159478,0.07364769,0.07859711,0.10597266,0.030342726,-0.04361105,-0.19656903,0.13448896,-0.03197046,0.14200516,0.068704545,-0.03473955,0.13646793,0.12065446,-0.05594522,-0.0843231,-0.13584502,-0.018404355,-0.0787257,0.23672524,-0.013209007,0.09968098,0.17432894,-0.07447599,0.087515116,-0.13361253,0.0881313,0.023388267,-0.0787547,-0.1327127,-0.20447157,0.21410644,-0.01899517,0.01817868,0.090374164,0.057426896,0.12216509,-0.11207451,0.014413706,-0.07711791,-0.06716984,0.1029326,-0.25612438,-0.21191388,-0.22149721,0.11935351,-0.20118847,-0.16451885,-0.16101424,0.26607457,-0.14554328,-0.10906906,0.15406083,-0.122433946,-0.06891563,-0.061768938,0.8537473678588867
-0.1422191,-0.027891794,0.16601111,0.021797765,0.16460559,-0.0068348763,0.09264315,-0.08596085,-0.05378993,0.0810459,0.16924976,0.044745646,-0.07778516,0.03860999,-0.08889799,0.14250241,-0.117324695,0.05657119,0.006213265,0.083785765,0.18923041,0.0959447,-0.12616013,0.013782956,-0.028056325,-0.12726472,0.02767826,0.20140496,-0.06551406,0.09514173,0.05247193,-0.05160434,0.13902988,-0.14276397,0.294286,0.09145392,0.037323985,-0.14550486,-0.16448776,0.0959102,0.021098103,0.053153764,0.12260747,0.08891436,0.15544413,-0.06124921,0.022807783,0.010761414,-0.11532899,0.06430537,-0.17598066,-0.1818317,-0.16258423,0.109488875,-0.3756924,-0.024227038,-0.16593046,0.19893773,-0.15981092,-0.1406232,0.10096094,0.065624304,0.12043288,-0.1358782,0.841383695602417
-0.1734811,-0.086601324,0.107057706,-0.0002655149,0.059178505,0.045800887,0.12966621,-0.13865128,0.023400286,0.025809875,0.18986551,0.062811315,-0.030030569,0.013594651,-0.06254392,0.18898283,-0.047281366,0.10915086,0.049036447,0.087114304,0.13654691,0.12776193,-0.12560557,-0.012814664,-0.108774744,-0.14674538,-0.005050059,0.1659868,-0.015701776,0.06778893,0.226592,-0.06754547,0.0965883,-0.12905356,0.13020973,0.06651809,0.0396075,-0.07113709,-0.21667968,0.10031527,0.0011535384,0.034693826,0.06607507,0.02446166,0.10727672,-0.048431102,0.11456115,0.013691337,-0.15077178,0.040469974,-0.1982975,-0.19807681,-0.17603883,0.10126813,-0.30297172,-0.1769918,-0.07068854,0.31357837,-0.15809628,-0.13640782,0.2568852,-0.037662886,-0.051248517,-0.045241013,0.8173920512199402
-0.124277554,-0.110033184,0.12741819,-0.11296424,0.039022777,0.09823117,0.01957509,-0.09071343,-0.032798294,-0.03475266,0.11360273,0.07323133,-0.03982941,-0.008643724,-0.12123014,0.14698996,-0.016823793,0.159405,-0.008202951,0.06708561,0.17237021,0.102771,-0.12559952,0.018584143,-0.08455304,-0.10013645,0.019289669,0.25487778,0.036802035,0.015149627,0.10437832,-0.06528034,0.040895768,-0.09877963,0.19892098,0.11745252,-0.06655564,-0.11284792,-0.18863037,0.12650499,-0.051486775,-0.08000046,0.06467753,0.12081109,0.054560896,0.024951842,0.08387481,-0.05024133,-0.08526002,0.0059328936,-0.19149163,-0.15992464,-0.29385507,0.1427546,-0.40944365,-0.11673469,-0.21519816,0.17406356,-0.120678276,-0.13189381,0.1143316,-0.034396693,0.07809411,-0.13506304,0.7206871509552002
