dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,Value
0.4904858,-0.15025987,0.17454106,0.3032955,0.22552131,0.36631092,0.19093652,0.29728818,0.21187122,0.26225933,0.03983435,0.42211977,0.039185993,-0.027514052,-0.00043626383,-0.09369351,0.48354148864746094
0.4797426,-0.0995097,0.14734046,0.35681278,0.28371406,0.39945835,0.22736911,0.32256845,0.2278959,0.19840713,0.07124305,0.14978702,0.029490225,-0.19520974,-0.036930934,-0.23655534,0.621798574924469
0.4738392,-0.07034017,0.22417562,0.2947124,0.18373942,0.39372936,0.3794045,0.30351645,0.17289595,0.23890617,0.11498953,0.15952086,-0.015641822,-0.07288192,0.1125849,-0.2543526,0.5741328001022339
0.5012753,-0.017770337,0.0119791,0.35896528,0.24196313,0.39597014,0.3130087,0.31022868,0.18734351,0.19013107,0.1797518,0.24102674,0.03650458,-0.08952298,0.09968295,-0.17005037,0.5302754640579224
0.5869972,-0.0032509288,0.21184196,0.29346862,0.11483691,0.33955565,0.36095303,0.31178463,0.2427075,0.16887748,0.12636213,0.16126001,-0.0013478446,-0.017363012,0.042385384,-0.19220321,0.4565732777118683
0.36006203,-0.00869982,0.08592973,0.3913151,0.21107258,0.55313194,0.40364978,0.17957352,0.29733935,0.09472409,0.16310787,-0.022708563,-0.036309496,0.045510717,-0.021205958,-0.18904866,0.4905617833137512
0.60477555,-0.009461122,0.2023237,0.31403944,0.09508284,0.30385116,0.30649754,0.2745549,0.29611766,0.21991608,0.13326034,0.15958473,-0.0035862075,-0.15720074,-0.063564494,-0.12599319,0.4058828353881836
0.51474273,-0.04288231,0.16265875,0.34908554,0.30486864,0.31786478,0.2820487,0.34688526,0.3215018,0.07956066,0.11076164,0.14803223,0.019621117,-0.097793624,0.05547242,-0.18471068,0.5988765954971313
0.48107612,-0.11709059,0.17817958,0.30389503,0.18158726,0.32876605,0.33406106,0.34071696,0.30045956,0.100340605,0.12218965,0.17028135,-0.009358911,-0.24837615,0.026183488,-0.23510711,0.6255560517311096
0.38666674,-0.19765523,0.07929376,0.38038224,0.33140382,0.4317002,0.3118721,0.27296326,0.23911172,0.03986502,0.13536114,0.016063947,-0.048621796,-0.25904924,-0.08453797,-0.19625194,0.6569350957870483
0.35181895,-0.22384687,0.18026403,0.28363958,0.36589822,0.37139484,0.19387618,0.34595397,0.119636424,0.15371837,0.006019855,-0.09427181,-0.0450376,-0.38411507,0.0074054124,-0.2959535,0.7587709426879883
0.24871509,-0.30166635,-0.028809587,0.33777773,0.17597112,0.51488036,0.22313707,0.1670248,0.0438057,-0.1428628,0.025174802,0.03399159,0.07743636,-0.4915436,-0.16000666,-0.24724041,0.6764375567436218
0.43238187,0.024029147,0.10004414,0.3154535,0.2870837,0.20296657,0.43174076,0.2613971,0.38211387,0.03908004,0.09010193,0.0965713,-0.082724154,-0.32536823,0.056846563,-0.20901175,0.5856264233589172
0.24880256,-0.043112807,-0.018898185,0.40387222,0.32947543,0.4061072,0.37277815,0.28430238,0.32094848,0.052158505,0.1744289,0.013972315,-0.016088238,-0.33285785,-0.025279136,-0.17736648,0.6368116736412048
0.48998073,-0.11631314,0.22901152,0.35896719,0.23384507,0.2419583,0.22510004,0.3531081,0.37344655,0.119043104,0.12813926,0.098204456,0.012413052,-0.2038325,0.1404514,-0.18809035,0.6458552479743958
0.505106,0.0323047,0.123807475,0.3881432,0.33446243,0.2787,0.314237,0.2435781,0.29616806,0.15364681,0.09308423,0.26944658,0.014354131,0.0031616676,0.16376467,-0.10297065,0.5030092000961304
0.22781664,-0.14644195,0.0900166,0.4036038,0.27096394,0.50755346,0.34585163,0.3125703,0.19467737,0.080577955,0.10304882,0.18324275,-0.0013543048,-0.1377192,0.10288678,-0.298608,0.7367409467697144
0.41081694,-0.13208234,0.20866476,0.28787825,0.009437613,0.40372255,0.17509466,0.3789344,0.33254775,0.1385255,0.13753392,0.08691457,0.013167203,0.15671146,0.24947771,-0.32683384,0.5893399119377136
0.1682107,-0.12322191,0.10505239,0.496723,0.2645963,0.55129045,0.23641741,0.12836836,0.14059642,-0.029200867,0.12523857,-0.09515477,0.0547473,-0.34493563,-0.16988647,-0.23716936,0.6516017913818359
0.2562069,-0.09428343,0.21479101,0.3265182,0.35918576,0.31927493,0.3162988,0.32898146,0.18983056,0.03742091,0.088807754,-0.014289085,-0.07458515,-0.30577302,0.13492884,-0.41316077,0.8222463726997375
